Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,Commission,Symbol
ADA/BTC,0.000019290,0.000000040,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,ADA/BTC
ADX/BTC,0.000007840,0.000000050,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,ADX/BTC
AMP/BTC,0.000000260,0.000000020,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,AMP/BTC
ANT/BTC,0.000080570,0.000000180,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,ANT/BTC
ARDR/BTC,0.000004810,0.000000210,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,ARDR/BTC
ARK/BTC,0.000018960,0.000000330,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,ARK/BTC
BAT/BTC,0.000015090,0.000000050,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,BAT/BTC
BNT/BTC,0.000022990,0.000001390,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,BNT/BTC
CVC/BTC,0.000006030,0.000000040,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,CVC/BTC
DASH/BTC,0.00209110,0.000015750,0.0,0.0,0.000000010,0.000000001,-100.00,0,0.100,-0.250,DASH/BTC
DCR/BTC,0.00129353,0.000010400,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,DCR/BTC
DGB/BTC,0.000000450,0.000000010,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,DGB/BTC
DNT/BTC,0.000001800,0.000000190,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,DNT/BTC
DOGE/BTC,0.000003070,0.000000020,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,DOGE/BTC
EMC2/BTC,0.000000450,0.000000010,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,EMC2/BTC
ETC/BTC,0.00121947,0.000004670,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,ETC/BTC
ETH/BTC,0.0677899,0.000088310,0.0,0.0,0.000000100,0.000000001,-100.00,0,0.0100,-0.250,ETH/BTC
EXCL/BTC,0.000000560,0.000000050,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,EXCL/BTC
EXP/BTC,0.000000360,0.000000020,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,EXP/BTC
FCT/BTC,0.000019490,0.000000720,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,FCT/BTC
FTC/BTC,0.000000370,0.000000020,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,FTC/BTC
GAME/BTC,0.000000710,0.000000030,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,GAME/BTC
GNO/BTC,0.00574802,0.000106920,0.0,0.0,0.000000010,0.000000001,-100.00,0,0.100,-0.250,GNO/BTC
GRS/BTC,0.000014840,0.000000390,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,GRS/BTC
KMD/BTC,0.000012670,0.000000320,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,KMD/BTC
LBC/BTC,0.000001090,0.000000030,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,LBC/BTC
LSK/BTC,0.000046920,0.000000390,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,LSK/BTC
LTC/BTC,0.00265075,0.000006220,0.0,0.0,0.000000010,0.000000001,-100.00,0,0.100,-0.250,LTC/BTC
MANA/BTC,0.000032810,0.000000110,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,MANA/BTC
MEME/BTC,0.000003040,0.000000020,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,MEME/BTC
MER/BTC,0.000000030,0.000000010,0.0,0.0,0.000000010,0.00010000,-100.00,0,10000,-0.250,MER/BTC
MONA/BTC,0.000022060,0.000000520,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,MONA/BTC
MUE/BTC,0.000000030,0.000000010,0.0,0.0,0.000000010,0.00010000,-100.00,0,10000,-0.250,MUE/BTC
NAV/BTC,0.000003270,0.000000150,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,NAV/BTC
NEO/BTC,0.000405140,0.000002520,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,NEO/BTC
NMR/BTC,0.000745170,0.000005810,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,NMR/BTC
NXS/BTC,0.000002960,0.000000050,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,NXS/BTC
NXT/BTC,0.000000160,0.000000020,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,NXT/BTC
OK/BTC,0.000000170,0.000000020,0.0,0.0,0.000000010,0.00010000,-100.00,0,10000,-0.250,OK/BTC
OMG/BTC,0.000081180,0.000000220,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,OMG/BTC
PART/BTC,0.000021240,0.000001480,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,PART/BTC
PAY/BTC,0.000000830,0.000000030,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,PAY/BTC
PIVX/BTC,0.000014820,0.000000260,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,PIVX/BTC
POT/BTC,0.000000200,0.000000030,0.0,0.0,0.000000010,0.00010000,-100.00,0,10000,-0.250,POT/BTC
POWR/BTC,0.000009580,0.000000370,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,POWR/BTC
PPC/BTC,0.000025120,0.000000470,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,PPC/BTC
PTOY/BTC,0.000000180,0.000000040,0.0,0.0,0.000000010,0.00010000,-100.00,0,10000,-0.250,PTOY/BTC
QTUM/BTC,0.000137090,0.000000480,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,QTUM/BTC
RLC/BTC,0.000056150,0.000000430,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,RLC/BTC
SBD/BTC,0.000118470,0.000004780,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,SBD/BTC
SC/BTC,0.000000170,0.000000010,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,SC/BTC
SLS/BTC,0.000022990,0.000008990,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,SLS/BTC
SNT/BTC,0.000001570,0.000000010,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,SNT/BTC
STEEM/BTC,0.000011550,0.000000350,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,STEEM/BTC
STORJ/BTC,0.000023860,0.000002720,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,STORJ/BTC
SYS/BTC,0.000007520,0.000000390,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,SYS/BTC
THC/BTC,0.000000260,0.000000050,0.0,0.0,0.000000010,0.00010000,-100.00,0,10000,-0.250,THC/BTC
UBQ/BTC,0.000003200,0.000000070,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,UBQ/BTC
VIA/BTC,0.000002530,0.000000100,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,VIA/BTC
VRC/BTC,0.000000060,0.000000020,0.0,0.0,0.000000010,0.00010000,-100.00,0,10000,-0.250,VRC/BTC
VTC/BTC,0.000009910,0.000000200,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,VTC/BTC
WAVES/BTC,0.000172740,0.000000710,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,WAVES/BTC
WINGS/BTC,0.000000210,0.000000070,0.0,0.0,0.000000010,0.00010000,-100.00,0,10000,-0.250,WINGS/BTC
XEM/BTC,0.000001990,0.000000030,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,XEM/BTC
XLM/BTC,0.000005870,0.000000020,0.0,0.0,0.000000010,0.000001000,-100.00,0,100,-0.250,XLM/BTC
XRP/BTC,0.000025420,0.000000050,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,XRP/BTC
XVG/BTC,0.000000160,0.000000010,0.0,0.0,0.000000010,0.000010000,-100.00,0,1000,-0.250,XVG/BTC
ZEC/BTC,0.00260671,0.000016900,0.0,0.0,0.000000010,0.000000001,-100.00,0,0.100,-0.250,ZEC/BTC
ZEN/BTC,0.000646490,0.000004810,0.0,0.0,0.000000010,0.000000100,-100.00,0,10.0,-0.250,ZEN/BTC